,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 2 (LOWER DILUTION),,,,,,,,,,,,,,,,,Block 10 (LOWER DILUTION),,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.29,44,0.29,0.063,337,5349,232690,150,17662.5,0.303,13.174,513,,,1,α2-6 SiaLac,150,0.29,44,0.29,0.063,443,7032,305881,140,15386,0.457,19.880,593
,,,,,,,377,5984,260310,145,16504.625,0.363,15.772,531,,,,,,,,,,459,7286,316929,140,15386,0.474,20.599,444
,,,,,,,379,6016,261690,145,16504.625,0.364,15.856,557,,,,,,,,,,469,7444,323833,140,15386,0.484,21.047,454
,,,,,,,389,6175,268595,145,16504.625,0.374,16.274,456,,,,,,,,,,462,7333,319000,145,16504.625,0.444,19.328,477
,,,,,,,388,6159,267905,145,16504.625,0.373,16.232,563,,,,,,,,,,478,7587,330048,140,15386,0.493,21.451,443
,,,,,,,411,6524,283786,145,16504.625,0.395,17.194,613,,,,,,,,,,529,8397,365262,140,15386,0.546,23.740,461
,,,0.40,60,0.40,0.063,288,4571,448000,140,15386,0.297,29.117,570,,,,,,0.40,60,0.40,0.063,357,5667,555333,135,14306.625,0.396,38.817,725
,,,,,,,292,4635,454222,140,15386,0.301,29.522,461,,,,,,,,,,368,5841,572444,135,14306.625,0.408,40.013,576
,,,,,,,330,5238,513333,130,13266.5,0.395,38.694,524,,,,,,,,,,376,5968,584889,130,13266.5,0.450,44.088,634
,,,,,,,358,5683,556889,130,13266.5,0.428,41.977,423,,,,,,,,,,391,6206,608222,130,13266.5,0.468,45.846,681
,,,,,,,366,5810,569333,130,13266.5,0.438,42.915,478,,,,,,,,,,387,6143,602000,135,14306.625,0.429,42.078,662
,,,,,,,395,6270,614444,130,13266.5,0.473,46.315,446,,,,,,,,,,388,6159,603556,135,14306.625,0.430,42.187,512
,,200,0.39,78,0.39,0.275,1591,5785,251667,145,16504.625,0.351,15.248,911,,,,,200,0.39,78,0.39,0.275,2022,7353,319844,140,15386,0.478,20.788,1095
,,,,,,,1609,5851,254515,145,16504.625,0.355,15.421,871,,,,,,,,,,2063,7502,326329,140,15386,0.488,21.209,949
,,,,,,,1738,6320,274920,140,15386,0.411,17.868,667,,,,,,,,,,2040,7418,322691,135,14306.625,0.519,22.555,977
,,,,,,,1809,6578,286151,140,15386,0.428,18.598,687,,,,,,,,,,2209,8033,349424,135,14306.625,0.561,24.424,953
,,,,,,,1840,6691,291055,145,16504.625,0.405,17.635,647,,,,,,,,,,2207,8025,349107,135,14306.625,0.561,24.402,1011
,,,,,,,1945,7073,307664,145,16504.625,0.429,18.641,656,,,,,,,,,,2607,9480,412380,135,14306.625,0.663,28.824,901
,,,0.49,98,0.49,0.275,1540,5600,548800,140,15386,0.364,35.669,865,,,,,,0.49,98,0.49,0.275,2002,7280,713440,135,14306.625,0.509,49.868,886
,,,,,,,1580,5745,563055,140,15386,0.373,36.595,1111,,,,,,,,,,2025,7364,721636,135,14306.625,0.515,50.441,940
,,,,,,,1638,5956,583724,140,15386,0.387,37.939,621,,,,,,,,,,2001,7276,713084,140,15386,0.473,46.346,981
,,,,,,,1876,6822,668538,135,14306.625,0.477,46.729,797,,,,,,,,,,2131,7749,759411,135,14306.625,0.542,53.081,1034
,,,,,,,1904,6924,678516,135,14306.625,0.484,47.427,751,,,,,,,,,,2186,7949,779011,135,14306.625,0.556,54.451,931
,,,,,,,1884,6851,671389,135,14306.625,0.479,46.929,1030,,,,,,,,,,2281,8295,812865,135,14306.625,0.580,56.817,945
,,300,0.35,105,0.35,0.093,537,5780,254338,140,15386,0.376,16.530,915,,,,,300,0.35,105,0.35,0.093,709,7632,335802,130,13266.5,0.575,25.312,834
,,,,,,,537,5780,254338,140,15386,0.376,16.530,789,,,,,,,,,,732,7879,346695,130,13266.5,0.594,26.133,998
,,,,,,,547,5888,259074,140,15386,0.383,16.838,682,,,,,,,,,,770,8288,364693,135,14306.625,0.579,25.491,842
,,,,,,,610,6566,288913,135,14306.625,0.459,20.194,783,,,,,,,,,,773,8321,366114,130,13266.5,0.627,27.597,799
,,,,,,,609,6555,288439,135,14306.625,0.458,20.161,720,,,,,,,,,,770,8288,364693,135,14306.625,0.579,25.491,837
,,,,,,,638,6868,302174,135,14306.625,0.480,21.121,652,,,,,,,,,,815,8773,386006,135,14306.625,0.613,26.981,807
,,,0.47,141,0.47,0.093,430,4629,453606,140,15386,0.301,29.482,668,,,,,,0.47,141,0.47,0.093,523,5630,551712,140,15386,0.366,35.858,692
,,,,,,,448,4822,472594,140,15386,0.313,30.716,637,,,,,,,,,,548,5899,578084,140,15386,0.383,37.572,587
,,,,,,,440,4736,464155,145,16504.625,0.287,28.123,526,,,,,,,,,,530,5705,559096,145,16504.625,0.346,33.875,650
,,,,,,,488,5253,514790,140,15386,0.341,33.458,273,,,,,,,,,,532,5727,561206,140,15386,0.372,36.475,380
,,,,,,,516,5554,544327,140,15386,0.361,35.378,670,,,,,,,,,,581,6254,612896,140,15386,0.406,39.835,617
,,,,,,,527,5673,555931,140,15386,0.369,36.132,569,,,,,,,,,,593,6383,625554,140,15386,0.415,40.657,649
5,α2-6 SiaLac,150,0.29,44,0.29,0.063,1869,29667,1780000,145,16504.625,1.797,107.849,713,,,5,α2-6 SiaLac,150,0.29,44,0.29,0.063,2012,31937,1916190,145,16504.625,1.935,116.100,589
,,,,,,,1814,28794,1727619,145,16504.625,1.745,104.675,590,,,,,,,,,,1994,31651,1899048,145,16504.625,1.918,115.062,650
,,,,,,,1744,27683,1660952,145,16504.625,1.677,100.636,632,,,,,,,,,,2019,32048,1922857,145,16504.625,1.942,116.504,580
,,,,,,,1780,28254,1695238,145,16504.625,1.712,102.713,678,,,,,,,,,,2114,33556,2013333,145,16504.625,2.033,121.986,634
,,,,,,,1370,21746,1304762,250,49062.5,0.443,26.594,405,,,,,,,,,,2130,33810,2028571,145,16504.625,2.048,122.909,660
,,,,,,,1467,23286,1397143,205,32989.625,0.706,42.351,311,,,,,,,,,,2335,37063,2223810,145,16504.625,2.246,134.739,670
,,,0.40,60,0.40,0.063,1192,18921,1986667,135,14306.625,1.323,138.863,589,,,,,,0.40,60,0.40,0.063,1461,23190,2435000,135,14306.625,1.621,170.201,589
,,,,,,,1180,18730,1966667,135,14306.625,1.309,137.465,465,,,,,,,,,,1480,23492,2466667,135,14306.625,1.642,172.414,677
,,,,,,,1146,18190,1910000,135,14306.625,1.271,133.505,552,,,,,,,,,,1520,24127,2533333,130,13266.5,1.819,190.957,651
,,,,,,,1180,18730,1966667,135,14306.625,1.309,137.465,753,,,,,,,,,,1743,27667,2905000,125,12265.625,2.256,236.841,723
,,,,,,,1110,17619,1850000,135,14306.625,1.232,129.311,612,,,,,,,,,,1647,26143,2745000,130,13266.5,1.971,206.912,647
,,,,,,,1110,17619,1850000,140,15386,1.145,120.239,487,,,,,,,,,,1511,23984,2518333,135,14306.625,1.676,176.026,682
,,200,0.39,78,0.39,0.275,8209,29851,1791055,140,15386,1.940,116.408,624,,,,,200,0.39,78,0.39,0.275,9074,32996,1979782,140,15386,2.145,128.674,869
,,,,,,,8108,29484,1769018,145,16504.625,1.786,107.183,640,,,,,,,,,,9077,33007,1980436,140,15386,2.145,128.717,830
,,,,,,,8229,29924,1795418,140,15386,1.945,116.692,648,,,,,,,,,,9165,33327,1999636,140,15386,2.166,129.965,703
,,,,,,,8438,30684,1841018,140,15386,1.994,119.655,664,,,,,,,,,,9527,34644,2078618,135,14306.625,2.422,145.291,678
,,,,,,,8269,30069,1804145,140,15386,1.954,117.259,644,,,,,,,,,,9743,35429,2125745,140,15386,2.303,138.161,760
,,,,,,,8739,31778,1906691,140,15386,2.065,123.924,583,,,,,,,,,,10982,39935,2396073,140,15386,2.596,155.731,712
,,,0.49,98,0.49,0.275,7404,26924,2826982,140,15386,1.750,183.737,571,,,,,,0.49,98,0.49,0.275,8402,30553,3208036,135,14306.625,2.136,224.234,734
,,,,,,,7307,26571,2789945,140,15386,1.727,181.330,556,,,,,,,,,,8948,32538,3416509,135,14306.625,2.274,238.806,732
,,,,,,,7332,26662,2799491,140,15386,1.733,181.951,647,,,,,,,,,,8714,31687,3327164,135,14306.625,2.215,232.561,675
,,,,,,,7480,27200,2856000,140,15386,1.768,185.623,665,,,,,,,,,,8871,32258,3387109,140,15386,2.097,220.142,645
,,,,,,,7626,27731,2911745,140,15386,1.802,189.246,595,,,,,,,,,,9468,34429,3615055,135,14306.625,2.407,252.684,687
,,,,,,,4183,15211,1597145,205,32989.625,0.461,48.414,340,,,,,,,,,,9574,34815,3655527,135,14306.625,2.433,255.513,674
,,300,0.35,105,0.35,0.093,3013,32433,1945963,140,15386,2.108,126.476,307,,,,,300,0.35,105,0.35,0.093,3387,36459,2187513,135,14306.625,2.548,152.902,336
,,,,,,,3041,32734,1964047,135,14306.625,2.288,137.282,296,,,,,,,,,,3479,37449,2246932,135,14306.625,2.618,157.055,318
,,,,,,,3083,33186,1991173,140,15386,2.157,129.415,297,,,,,,,,,,3471,37363,2241765,135,14306.625,2.612,156.694,330
,,,,,,,3052,32853,1971152,135,14306.625,2.296,137.779,300,,,,,,,,,,3520,37890,2273412,135,14306.625,2.648,158.906,290
,,,,,,,3057,32906,1974381,140,15386,2.139,128.323,249,,,,,,,,,,3621,38977,2338644,135,14306.625,2.724,163.466,341
,,,,,,,2913,31356,1881378,145,16504.625,1.900,113.991,-7,,,,,,,,,,3911,42099,2525942,135,14306.625,2.943,176.557,322
,,,0.47,141,0.47,0.093,2804,30183,3169214,135,14306.625,2.110,221.521,232,,,,,,0.47,141,0.47,0.093,3099,33358,3502637,135,14306.625,2.332,244.826,301
,,,,,,,2789,30022,3152260,140,15386,1.951,204.878,206,,,,,,,,,,3150,33907,3560280,135,14306.625,2.370,248.855,290
,,,,,,,2780,29925,3142088,135,14306.625,2.092,219.625,222,,,,,,,,,,3134,33735,3542196,135,14306.625,2.358,247.591,301
,,,,,,,2721,29290,3075404,140,15386,1.904,199.883,239,,,,,,,,,,3182,34252,3596448,135,14306.625,2.394,251.383,277
,,,,,,,2630,28310,2972551,140,15386,1.840,193.198,150,,,,,,,,,,3307,35597,3737729,135,14306.625,2.488,261.259,322
,,,,,,,2479,26685,2801884,135,14306.625,1.865,195.845,-120,,,,,,,,,,3512,37804,3969429,135,14306.625,2.642,277.454,272
10,α2-6 SiaLac,150,0.29,44,0.29,0.063,3119,49508,3861619,140,15386,3.218,250.983,423,,,10,α2-6 SiaLac,150,0.29,44,0.29,0.063,3702,58762,4583429,140,15386,3.819,297.896,656
,,,,,,,3103,49254,3841810,140,15386,3.201,249.695,417,,,,,,,,,,3720,59048,4605714,140,15386,3.838,299.344,638
,,,,,,,3056,48508,3783619,145,16504.625,2.939,229.246,506,,,,,,,,,,3701,58746,4582190,140,15386,3.818,297.816,562
,,,,,,,3149,49984,3898762,140,15386,3.249,253.397,570,,,,,,,,,,3606,57238,4464571,140,15386,3.720,290.171,436
,,,,,,,3214,51016,3979238,140,15386,3.316,258.627,707,,,,,,,,,,3867,61381,4787714,140,15386,3.989,311.173,319
,,,,,,,3276,52000,4056000,140,15386,3.380,263.616,489,,,,,,,,,,3907,62016,4837238,140,15386,4.031,314.392,311
,,,0.40,60,0.40,0.063,1090,17302,2439524,165,21371.625,0.810,114.148,429,,,,,,0.40,60,0.40,0.063,2190,34762,4901429,135,14306.625,2.430,342.599,637
,,,,,,,1352,21460,3025905,155,18859.625,1.138,160.444,485,,,,,,,,,,2278,36159,5098381,135,14306.625,2.527,356.365,607
,,,,,,,794,12603,1777048,240,45216,0.279,39.301,420,,,,,,,,,,2306,36603,5161048,135,14306.625,2.558,360.745,695
,,,,,,,1416,22476,3169143,135,14306.625,1.571,221.516,355,,,,,,,,,,2345,37222,5248333,135,14306.625,2.602,366.846,644
,,,,,,,1574,24984,3522762,135,14306.625,1.746,246.233,591,,,,,,,,,,2422,38444,5420667,135,14306.625,2.687,378.892,347
,,,,,,,1512,24000,3384000,140,15386,1.560,219.940,568,,,,,,,,,,2636,41841,5899619,135,14306.625,2.925,412.370,340
,,200,0.39,78,0.39,0.275,15518,56429,4401469,140,15386,3.668,286.070,350,,,,,200,0.39,78,0.39,0.275,18427,67007,5226567,140,15386,4.355,339.696,616
,,,,,,,15576,56640,4417920,140,15386,3.681,287.139,495,,,,,,,,,,18553,67465,5262305,140,15386,4.385,342.019,582
,,,,,,,15880,57745,4504145,140,15386,3.753,292.743,617,,,,,,,,,,18599,67633,5275353,140,15386,4.396,342.867,564
,,,,,,,15987,58135,4534495,145,16504.625,3.522,274.741,471,,,,,,,,,,19441,70695,5514175,140,15386,4.595,358.389,561
,,,,,,,12457,45298,3533258,115,10381.625,4.363,340.338,593,,,,,,,,,,19653,71465,5574305,140,15386,4.645,362.297,391
,,,,,,,14905,54200,4227600,155,18859.625,2.874,224.161,1172,,,,,,,,,,22344,81251,6337571,140,15386,5.281,411.905,406
,,,0.49,98,0.49,0.275,11321,41167,5804585,140,15386,2.676,377.264,266,,,,,,0.49,98,0.49,0.275,16388,59593,8402575,140,15386,3.873,546.118,417
,,,,,,,11505,41836,5898927,140,15386,2.719,383.396,374,,,,,,,,,,16882,61389,8655862,135,14306.625,4.291,605.025,368
,,,,,,,11514,41869,5903542,135,14306.625,2.927,412.644,421,,,,,,,,,,17424,63360,8933760,135,14306.625,4.429,624.449,360
,,,,,,,11525,41909,5909182,140,15386,2.724,384.062,460,,,,,,,,,,18047,65625,9253189,135,14306.625,4.587,646.777,452
,,,,,,,11794,42887,6047105,140,15386,2.787,393.026,665,,,,,,,,,,18231,66295,9347531,135,14306.625,4.634,653.371,296
,,,,,,,12038,43775,6172211,135,14306.625,3.060,431.423,431,,,,,,,,,,18587,67589,9530062,130,13266.5,5.095,718.355,280
,,300,0.35,105,0.35,0.093,6522,70205,5475953,140,15386,4.563,355.905,67,,,,,300,0.35,105,0.35,0.093,7250,78041,6087191,135,14306.625,5.455,425.481,178
,,,,,,,6473,69677,5434812,140,15386,4.529,353.231,165,,,,,,,,,,7333,78934,6156878,135,14306.625,5.517,430.352,192
,,,,,,,6411,69010,5382756,140,15386,4.485,349.848,210,,,,,,,,,,7285,78418,6116577,135,14306.625,5.481,427.535,221
,,,,,,,6574,70764,5519612,145,16504.625,4.288,334.428,128,,,,,,,,,,7353,79150,6173671,135,14306.625,5.532,431.525,261
,,,,,,,6719,72325,5641356,135,14306.625,5.055,394.318,-277,,,,,,,,,,7462,80323,6265188,135,14306.625,5.614,437.922,-366
,,,,,,,6890,74166,5784930,140,15386,4.820,375.987,171,,,,,,,,,,7809,84058,6556534,135,14306.625,5.875,458.287,94
,,,0.47,141,0.47,0.093,4205,45264,6382185,170,22686.5,1.995,281.321,-15,,,,,,0.47,141,0.47,0.093,6964,74962,10569688,140,15386,4.872,686.968,101
,,,,,,,5640,60710,8560172,140,15386,3.946,556.361,76,,,,,,,,,,7112,76555,10794316,140,15386,4.976,701.567,193
,,,,,,,5714,61507,8672487,145,16504.625,3.727,525.458,75,,,,,,,,,,7102,76448,10779139,140,15386,4.969,700.581,183
,,,,,,,5777,62185,8768105,140,15386,4.042,569.876,193,,,,,,,,,,7086,76276,10754855,140,15386,4.957,699.003,224
,,,,,,,5939,63929,9013983,140,15386,4.155,585.856,105,,,,,,,,,,7175,77234,10889935,140,15386,5.020,707.782,133
,,,,,,,6161,66319,9350926,140,15386,4.310,607.755,194,,,,,,,,,,7486,80581,11361959,140,15386,5.237,738.461,54
1,α2-3 SiaLac,150,0.34,51,0.34,0.063,338,5365,273619,140,15386,0.349,17.784,1688,,,1,α2-3 SiaLac,150,0.34,51,0.34,0.063,421,6683,340810,140,15386,0.434,22.151,1586
,,,,,,,342,5429,276857,140,15386,0.353,17.994,1551,,,,,,,,,,421,6683,340810,140,15386,0.434,22.151,1750
,,,,,,,351,5571,284143,140,15386,0.362,18.468,1579,,,,,,,,,,433,6873,350524,135,14306.625,0.480,24.501,11105
,,,,,,,452,7175,365905,130,13266.5,0.541,27.581,1500,,,,,,,,,,436,6921,352952,135,14306.625,0.484,24.671,1593
,,,,,,,471,7476,381286,130,13266.5,0.564,28.740,1452,,,,,,,,,,435,6905,352143,140,15386,0.449,22.887,2046
,,,,,,,527,8365,426619,135,14306.625,0.585,29.820,1401,,,,,,,,,,587,9317,475190,135,14306.625,0.651,33.215,1987
,,,0.58,87,0.58,0.063,245,3889,404444,140,15386,0.253,26.287,1553,,,,,,0.58,87,0.58,0.063,374,5937,617397,125,12265.625,0.484,50.336,1883
,,,,,,,253,4016,417651,140,15386,0.261,27.145,1739,,,,,,,,,,394,6254,650413,125,12265.625,0.510,53.027,1748
,,,,,,,254,4032,419302,140,15386,0.262,27.252,1678,,,,,,,,,,366,5810,604190,130,13266.5,0.438,45.543,1841
,,,,,,,288,4571,475429,135,14306.625,0.320,33.231,1645,,,,,,,,,,388,6159,640508,130,13266.5,0.464,48.280,2072
,,,,,,,289,4587,477079,140,15386,0.298,31.007,1649,,,,,,,,,,476,7556,785778,125,12265.625,0.616,64.063,1835
,,,,,,,301,4778,496889,135,14306.625,0.334,34.731,1558,,,,,,,,,,450,7143,742857,120,11304,0.632,65.716,1867
,,200,0.37,74,0.37,0.275,1996,7258,370167,140,15386,0.472,24.059,1822,,,,,200,0.37,74,0.37,0.275,2403,8738,445647,135,14306.625,0.611,31.150,2084
,,,,,,,1989,7233,368869,140,15386,0.470,23.974,1867,,,,,,,,,,2431,8840,450840,135,14306.625,0.618,31.513,1721
,,,,,,,2007,7298,372207,140,15386,0.474,24.191,1947,,,,,,,,,,2421,8804,448985,140,15386,0.572,29.181,1959
,,,,,,,2215,8055,410782,135,14306.625,0.563,28.713,1997,,,,,,,,,,2494,9069,462524,140,15386,0.589,30.061,2063
,,,,,,,2187,7953,405589,140,15386,0.517,26.361,1963,,,,,,,,,,2513,9138,466047,135,14306.625,0.639,32.576,2018
,,,,,,,2598,9447,481811,140,15386,0.614,31.315,2006,,,,,,,,,,2818,10247,522611,135,14306.625,0.716,36.529,1863
,,,0.52,104,0.52,0.275,1628,5920,615680,140,15386,0.385,40.016,1813,,,,,,0.52,104,0.52,0.275,2102,7644,794938,140,15386,0.497,51.666,1816
,,,,,,,1691,6149,639505,135,14306.625,0.430,44.700,1655,,,,,,,,,,2117,7698,800611,135,14306.625,0.538,55.961,1863
,,,,,,,1682,6116,636102,140,15386,0.398,41.343,1789,,,,,,,,,,2098,7629,793425,140,15386,0.496,51.568,1918
,,,,,,,1856,6749,701905,135,14306.625,0.472,49.062,1821,,,,,,,,,,2276,8276,860742,135,14306.625,0.578,60.164,2003
,,,,,,,1903,6920,719680,135,14306.625,0.484,50.304,1892,,,,,,,,,,2230,8109,843345,135,14306.625,0.567,58.948,2022
,,,,,,,1994,7251,754095,140,15386,0.471,49.012,1772,,,,,,,,,,2363,8593,893644,135,14306.625,0.601,62.464,1960
,,300,0.36,108,0.36,0.093,640,6889,351346,140,15386,0.448,22.835,1669,,,,,300,0.36,108,0.36,0.093,687,7395,377147,140,15386,0.481,24.512,1846
,,,,,,,652,7018,357933,140,15386,0.456,23.264,1614,,,,,,,,,,687,7395,377147,140,15386,0.481,24.512,1702
,,,,,,,651,7008,357384,140,15386,0.455,23.228,1495,,,,,,,,,,700,7535,384284,135,14306.625,0.527,26.861,1640
,,,,,,,654,7040,359031,145,16504.625,0.427,21.753,1569,,,,,,,,,,708,7621,388676,140,15386,0.495,25.262,1682
,,,,,,,662,7126,363423,145,16504.625,0.432,22.019,1601,,,,,,,,,,710,7643,389774,135,14306.625,0.534,27.244,1812
,,,,,,,680,7320,373305,140,15386,0.476,24.263,1613,,,,,,,,,,726,7815,398558,135,14306.625,0.546,27.858,2520
,,,0.46,138,0.46,0.093,762,8202,853046,140,15386,0.533,55.443,1365,,,,,,0.46,138,0.46,0.093,846,9107,947083,140,15386,0.592,61.555,1521
,,,,,,,765,8235,856405,140,15386,0.535,55.661,1351,,,,,,,,,,882,9494,987384,140,15386,0.617,64.174,1821
,,,,,,,779,8385,872078,135,14306.625,0.586,60.956,1424,,,,,,,,,,894,9623,1000818,140,15386,0.625,65.047,1536
,,,,,,,792,8525,886631,135,14306.625,0.596,61.973,1401,,,,,,,,,,932,10032,1043358,135,14306.625,0.701,72.928,1828
,,,,,,,818,8805,915737,140,15386,0.572,59.518,1355,,,,,,,,,,956,10291,1070226,140,15386,0.669,69.558,1687
,,,,,,,832,8956,931410,140,15386,0.582,60.536,1544,,,,,,,,,,964,10377,1079182,135,14306.625,0.725,75.432,1835
5,α2-3 SiaLac,150,0.34,51,0.34,0.063,1884,29905,2601714,140,15386,1.944,169.096,1534,,,5,α2-3 SiaLac,150,0.34,51,0.34,0.063,2211,35095,3053286,135,14306.625,2.453,213.418,1801
,,,,,,,1892,30032,2612762,145,16504.625,1.820,158.305,1624,,,,,,,,,,2229,35381,3078143,140,15386,2.300,200.061,1896
,,,,,,,1854,29429,2560286,140,15386,1.913,166.404,1654,,,,,,,,,,2204,34984,3043619,140,15386,2.274,197.817,1826
,,,,,,,1864,29587,2574095,145,16504.625,1.793,155.962,1714,,,,,,,,,,2253,35762,3111286,135,14306.625,2.500,217.472,1766
,,,,,,,1884,29905,2601714,140,15386,1.944,169.096,1540,,,,,,,,,,2319,36810,3202429,140,15386,2.392,208.139,1817
,,,,,,,2168,34413,2993905,140,15386,2.237,194.586,621,,,,,,,,,,2890,45873,3990952,135,14306.625,3.206,278.958,1786
,,,0.58,87,0.58,0.063,1299,20619,2226857,140,15386,1.340,144.733,1620,,,,,,0.58,87,0.58,0.063,1457,23127,2497714,140,15386,1.503,162.337,1985
,,,,,,,1334,21175,2286857,135,14306.625,1.480,159.846,1558,,,,,,,,,,1509,23952,2586857,135,14306.625,1.674,180.815,1997
,,,,,,,1294,20540,2218286,135,14306.625,1.436,155.053,1583,,,,,,,,,,1504,23873,2578286,135,14306.625,1.669,180.216,1846
,,,,,,,1282,20349,2197714,140,15386,1.323,142.839,1675,,,,,,,,,,1579,25063,2706857,135,14306.625,1.752,189.203,1836
,,,,,,,1343,21317,2302286,135,14306.625,1.490,160.924,1618,,,,,,,,,,1611,25571,2761714,135,14306.625,1.787,193.037,1986
,,,,,,,1261,20016,2161714,140,15386,1.301,140.499,464,,,,,,,,,,1589,25222,2724000,135,14306.625,1.763,190.401,2013
,,200,0.37,74,0.37,0.275,9329,33924,2951356,135,14306.625,2.371,206.293,1631,,,,,200,0.37,74,0.37,0.275,9990,36327,3160473,140,15386,2.361,205.412,1730
,,,,,,,9452,34371,2990269,135,14306.625,2.402,209.013,1619,,,,,,,,,,10445,37982,3304418,140,15386,2.469,214.768,1601
,,,,,,,9004,32742,2848538,140,15386,2.128,185.138,1789,,,,,,,,,,10139,36869,3207611,140,15386,2.396,208.476,1750
,,,,,,,9340,33964,2954836,135,14306.625,2.374,206.536,1549,,,,,,,,,,10332,37571,3268669,140,15386,2.442,212.444,1719
