Medium polymer binding to different valencies ,,,,Slide used ,,TL-VI-99-2,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,,,
,,,,Block 2,,,Block 3,,,Block 10,,,Block 11,,
,,,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,105,1.81,0.017,1.809,1390,0.012,1.299,941,0.013,1.354,153,0.014,1.434,440
,,,,0.022,2.259,1078,0.016,1.639,154,0.013,1.403,109,0.014,1.496,84
,,,,0.019,2.004,1410,0.014,1.435,314,0.014,1.421,429,0.014,1.481,456
,,,,0.018,1.883,1171,0.014,1.435,132,0.014,1.421,136,0.015,1.559,376
,,,,0.015,1.593,775,0.013,1.416,118,0.025,2.627,123,0.015,1.590,737
,,,,0.013,1.331,838,0.019,1.977,97,0.029,3.062,446,0.014,1.486,681
,,88,2.17,0.017,1.490,1304,0.018,1.590,194,0.018,1.558,-232,0.020,1.761,-191
,,,,0.019,1.655,1027,0.019,1.655,198,0.018,1.558,349,0.021,1.806,497
,,,,0.018,1.606,1456,0.019,1.671,140,0.018,1.623,288,0.021,1.821,1154
,,,,0.017,1.490,1652,0.019,1.704,158,0.019,1.671,280,0.020,1.763,791
,,,,0.017,1.505,1220,0.017,1.535,253,0.019,1.655,347,0.022,1.956,354
,,,,0.019,1.688,560,0.017,1.505,-197,0.019,1.655,238,0.022,1.971,705
,,79,2.42,0.018,1.439,1122,0.017,1.338,282,0.043,3.407,310,0.018,1.376,345
,,,,0.017,1.313,1007,0.017,1.363,287,0.042,3.260,253,0.018,1.434,1680*
,,,,0.017,1.325,1370,0.018,1.388,269,0.035,2.755,292,0.017,1.318,339
,,,,0.017,1.325,1453,0.020,1.573,167,0.037,2.876,415,0.018,1.422,420
,,,,0.017,1.300,188,0.017,1.313,153,0.045,3.554,500,0.020,1.539,287
,,,,0.017,1.313,138,0.017,1.338,288,0.029,2.259,450,0.020,1.574,377
,,71,2.69,0.020,1.433,587,0.018,1.310,116,0.017,1.231,326,0.017,1.189,597
,,,,0.020,1.384,479,0.018,1.287,265,0.017,1.219,212,0.017,1.221,226
,,,,0.019,1.348,581,0.019,1.332,17,0.017,1.208,252,0.017,1.232,511
,,,,0.017,1.219,630,0.021,1.457,265,0.016,1.163,228,0.016,1.161,-195
,,,,0.018,1.265,761,0.018,1.310,207,0.016,1.137,311,0.017,1.190,289
,,,,0.020,1.396,267*,0.021,1.469,605,0.018,1.242,206,0.017,1.170,121
,,61,3.11,0.022,1.344,759,0.020,1.240,307,0.059,3.635,286,0.021,1.269,79
,,,,0.022,1.375,757,0.019,1.156,411,0.041,2.485,234,0.021,1.269,202
,,,,0.023,1.407,862,0.020,1.249,438,0.090,5.508,221,0.020,1.249,315
,,,,0.023,1.386,792,0.020,1.210,345,0.048,2.937,119,0.022,1.337,277
,,,,0.022,1.375,831,0.022,1.365,207,0.072,4.388,196,0.022,1.356,129
,,,,0.026,1.585,363,0.022,1.337,155,0.022,1.367,131,0.022,1.374,100
,,53,3.62,0.019,1.007,521,0.021,1.114,197,0.060,3.168,115,0.019,1.007,0
,,,,0.021,1.114,596,0.020,1.038,-164,0.068,3.565,104,0.022,1.147,105
,,,,0.024,1.270,-92,0.020,1.072,-159,0.021,1.097,-7,0.021,1.122,5
,,,,0.024,1.252,568,0.019,1.015,352,0.025,1.332,95,0.022,1.172,497
,,,,0.021,1.122,707,0.021,1.122,-201,0.025,1.323,-1,0.023,1.223,-184
,,,,0.022,1.172,574,0.022,1.147,317,0.022,1.164,47,0.022,1.140,152
5,α2-6 SiaLac,105,1.81,0.053,5.585,1587,0.053,5.585,255,0.042,4.398,422,0.033,3.452,229
,,,,0.049,5.144,1595,0.051,5.351,501,0.042,4.414,506,0.036,3.741,207
,,,,0.053,5.551,1389,0.051,5.317,418,0.045,4.693,413,0.035,3.694,525
,,,,0.052,5.451,1232,0.049,5.097,605,0.043,4.481,456,0.035,3.679,457
,,,,0.048,5.004,1807,0.052,5.434,641,0.043,4.515,516,0.035,3.647,190
,,,,0.054,5.635,1796,0.047,4.941,493,0.047,4.949,567,0.032,3.321,197
,,88,2.17,0.076,6.636,2002,0.075,6.621,573,0.068,5.974,696,0.053,4.687,875
,,,,0.073,6.440,1357,0.073,6.425,456,0.076,6.669,730,0.054,4.729,246
,,,,0.074,6.470,1265,0.075,6.576,499,0.071,6.245,756,0.052,4.533,170
,,,,0.074,6.500,1437,0.076,6.681,457,0.072,6.335,905,0.055,4.827,278
,,,,0.075,6.561,1542,0.070,6.142,543,0.072,6.305,968,0.048,4.226,282
,,,,0.076,6.681,1682,0.078,6.816,488,0.074,6.500,1045,0.053,4.687,302
,,79,2.42,0.073,5.735,1018,0.072,5.677,186,0.077,6.065,563,0.063,4.956,187
,,,,0.067,5.294,568,0.072,5.689,183,0.072,5.689,660,0.061,4.760,136
,,,,0.072,5.689,160,0.073,5.770,-53,0.073,5.747,824,0.057,4.509,189
,,,,0.073,5.724,454,0.073,5.712,216,0.073,5.759,832,0.061,4.760,473
,,,,0.074,5.805,856,0.069,5.425,595,0.073,5.770,811,0.059,4.662,495
,,,,0.074,5.829,1118,0.075,5.875,425,0.075,5.899,837,0.055,4.325,230
,,71,2.69,0.065,4.584,376,0.064,4.505,244,0.073,5.179,357,0.066,4.712,27
,,,,0.061,4.357,161,0.064,4.505,149,0.074,5.232,631,0.062,4.431,48
,,,,0.063,4.485,203,0.058,4.145,223,0.074,5.242,603,0.067,4.741,291
,,,,0.064,4.544,141,0.063,4.475,277,0.075,5.305,637,0.065,4.633,188
,,,,0.060,4.228,191,0.062,4.426,631,0.074,5.274,681,0.068,4.790,168
,,,,0.064,4.534,139,0.059,4.219,153,0.076,5.410,661,0.064,4.514,228
,,61,3.11,0.084,5.178,187,0.072,4.396,-27,0.084,5.132,-91,0.074,4.532,-98
,,,,0.075,4.575,235,0.075,4.626,98,0.085,5.205,217,0.077,4.694,-12
,,,,0.075,4.617,241,0.071,4.348,506,0.086,5.278,413,0.074,4.558,109
,,,,0.077,4.694,95,0.063,3.846,138,0.086,5.251,264,0.068,4.189,52
,,,,0.076,4.668,30,0.075,4.575,164,0.086,5.287,308,0.078,4.753,150
,,,,0.071,4.372,-80,0.087,5.323,14,0.087,5.360,342,0.079,4.864,-14
,,53,3.62,0.095,5.004,145,0.087,4.560,-131,0.086,4.523,-5,0.081,4.270,-116
,,,,0.087,4.552,21,0.087,4.567,-91,0.088,4.625,-38,0.074,3.866,-139
,,,,0.088,4.611,11,0.087,4.581,447,0.082,4.291,-8,0.079,4.147,-132
,,,,0.087,4.596,-18,0.081,4.250,-368,0.088,4.654,-8,0.074,3.892,-107
,,,,0.087,4.552,-36,0.086,4.538,-122,0.087,4.567,-10,0.081,4.250,-72
,,,,0.088,4.618,20,0.088,4.625,286,0.082,4.325,-7,0.081,4.277,-136
10,α2-6 SiaLac,105,1.81,0.070,7.391,1406,0.063,6.653,299,0.078,8.145,595,0.041,4.318,151
,,,,0.077,8.106,1594,0.058,6.120,296,0.069,7.265,531,0.046,4.782,235
,,,,0.068,7.121,1370,0.061,6.438,200,0.070,7.301,497,0.046,4.832,245
,,,,0.067,7.085,1222,0.059,6.186,192,0.045,4.676,453,0.046,4.816,229
,,,,0.068,7.175,1022,0.053,5.518,216,0.034,3.595,425,0.041,4.302,239
,,,,0.068,7.193,1110,0.059,6.186,501,0.026,2.777,389,0.036,3.831,262
,,88,2.17,0.101,8.863,1372,0.096,8.395,457,0.109,9.585,909,0.069,6.065,218
,,,,0.101,8.863,1880,0.097,8.507,454,0.114,10.037,1028,0.071,6.261,266
,,,,0.103,9.043,2029,0.096,8.479,384,0.105,9.254,965,0.071,6.261,202
,,,,0.102,8.953,1552,0.094,8.269,167,0.050,4.433,723,0.071,6.196,141
,,,,0.095,8.325,733,0.095,8.339,206,0.087,7.654,545,0.064,5.631,209
,,,,0.102,8.998,629,0.095,8.311,361,0.067,5.892,481,0.064,5.594,285
,,79,2.42,0.124,9.704,1399,0.116,9.139,256,0.128,10.066,786,0.091,7.161,201
,,,,0.115,9.034,1731,0.115,8.999,283,0.121,9.466,829,0.095,7.447,176
,,,,0.125,9.816,1985,0.117,9.209,402,0.069,5.411,814,0.091,7.142,194
,,,,0.116,9.104,1318,0.116,9.139,7,0.082,6.428,766,0.070,5.530,155
,,,,0.115,8.999,492,0.115,9.058,121,0.144,11.310,616,0.065,5.122,32
,,,,0.114,8.929,383,0.115,9.034,278,0.093,7.324,399,0.086,6.759,240
,,71,2.69,0.123,8.747,806,0.114,8.085,108,0.107,7.590,587,0.090,6.415,80
,,,,0.124,8.821,1692,0.114,8.056,269,0.113,7.987,584,0.093,6.562,61
,,,,0.126,8.905,1629,0.122,8.653,137,0.116,8.243,520,0.095,6.752,50
,,,,0.116,8.223,1175,0.123,8.705,76,0.107,7.554,757,0.088,6.267,-20
,,,,0.124,8.810,323,0.115,8.174,77,0.117,8.321,533,0.095,6.726,-2
,,,,0.127,8.979,217,0.117,8.292,47,0.120,8.508,328,0.093,6.570,87
,,61,3.11,0.130,7.985,846,0.129,7.891,-99,0.122,7.454,410,0.108,6.622,-75
,,,,0.129,7.900,970,0.129,7.883,117,0.130,7.968,384,0.108,6.644,-27
,,,,0.129,7.908,1145,0.130,7.968,105,0.130,7.942,224,0.117,7.143,-8
,,,,0.129,7.891,792,0.128,7.874,89,0.129,7.884,639,0.113,6.928,-41
,,,,0.128,7.857,145,0.128,7.866,-49,0.132,8.095,431,0.109,6.696,-82
,,,,0.129,7.934,177,0.130,7.959,-56,0.150,9.209,302,0.111,6.801,-11
,,53,3.62,0.109,5.756,-23,0.101,5.302,-97.000,0.129,6.769,33,0.107,5.650,-121
,,,,0.109,5.719,-14,0.101,5.302,-23.000,0.118,6.208,24,0.107,5.616,-88
,,,,0.109,5.756,-33,0.101,5.336,-106.000,0.118,6.186,47,0.107,5.623,-73
,,,,0.101,5.315,20,0.109,5.756,-63.000,0.129,6.761,207,0.109,5.732,-76
,,,,0.101,5.302,66,0.109,5.719,-44.000,0.136,7.151,147,0.109,5.732,-47
,,,,0.109,5.719,5,0.109,5.712,-113.000,0.139,7.292,94,0.112,5.876,-127
1,α2-3 SiaLac,111,1.72,0.013,1.422,5849,0.014,1.549,1502,0.032,3.564,3580,0.018,1.971,1201
,,,,0.013,1.465,5926,0.015,1.641,2010,0.039,4.347,4189,0.018,2.007,1507
,,,,0.020,2.164,5415,0.013,1.465,1301,0.029,3.261,4265,0.017,1.920,1407
,,,,0.018,2.044,5905,0.014,1.493,1457,0.028,3.078,3922,0.017,1.871,2112
,,,,0.017,1.901,5353,0.013,1.465,785,0.022,2.470,2817,0.019,2.117,1542
,,,,0.014,1.522,4861,0.013,1.450,458,0.027,2.995,2250,0.020,2.166,894
,,93,2.05,0.013,1.235,5399,0.013,1.235,1045,0.032,2.933,2827,0.017,1.595,855
,,,,0.014,1.261,5709,0.015,1.363,1388,0.032,2.991,2945,0.017,1.580,641
,,,,0.016,1.462,5733,0.012,1.145,1126,0.037,3.466,3236,0.019,1.749,1207
,,,,0.016,1.521,1707,0.013,1.235,-2706,0.032,2.977,3125,0.019,1.743,1007
,,,,0.014,1.325,4954,0.013,1.222,584,0.025,2.313,2699,0.019,1.772,1176
,,,,0.015,1.377,4683,0.013,1.235,720,0.018,1.684,1406,0.018,1.694,1328
,,83,2.30,0.018,1.481,5339,0.019,1.585,987,0.051,4.219,3008,0.023,1.885,644
,,,,0.018,1.504,5752,0.019,1.550,1589,0.022,1.846,2817,0.024,1.964,941
,,,,0.020,1.671,5525,0.018,1.504,1207,0.036,3.014,3345,0.023,1.938,982
,,,,0.024,1.964,6064,0.017,1.420,1011,0.043,3.536,2896,0.025,2.030,997
,,,,0.018,1.527,5232,0.017,1.420,609,0.040957828,3.391,2821,0.025,2.030,823
,,,,0.019,1.573,5024,0.018,1.495,509,0.024200544,2.004,1690,0.024,1.966,787
,,70,2.71,0.016,1.143,4195,0.018,1.241,747,0.016266483,1.145,1972,0.017,1.165,417
,,,,0.018,1.265,4518,0.016,1.154,971,0.014010841,0.986,1658,0.017,1.221,609
,,,,0.018,1.289,4148,0.016,1.143,1022,0.015581579,1.096,1732,0.016,1.138,553
,,,,0.018,1.265,4486,0.016,1.143,767,0.016608936,1.169,1587,0.016,1.159,557
,,,,0.018,1.265,4093,0.016,1.154,511,0.016558267,1.165,1797,0.016,1.159,508
,,,,0.017,1.217,4082,0.018,1.244,363,0.017636292,1.241,1151,0.017,1.170,343
,,64,2.98,0.014,0.916,2857,0.013,0.845,386,0.043589283,2.787,1725,0.023,1.486,523
,,,,0.014,0.916,3078,0.013,0.854,689,0.037753907,2.414,1908,0.019,1.196,725
,,,,0.016,1.029,3014,0.014,0.864,742,0.037517945,2.399,1878,0.049,3.113,673
,,,,0.016,1.029,3301,0.013,0.835,988,0.038461793,2.459,2016,0.021,1.313,783
,,,,0.014,0.916,2880,0.014,0.864,414,0.053362199,3.412,2101,0.024,1.566,683
,,,,0.016,1.018,2988,0.015,0.947,303,0.017513551,1.120,1091,0.045,2.886,252
,,51,3.73,0.020,1.031,1065,0.018,0.942,193,0.052869609,2.700,656,0.025,1.252,130
,,,,0.018,0.942,1139,0.018,0.928,288,0.021669778,1.106,447,0.021,1.053,132
,,,,0.021,1.053,1475,0.020,1.023,300,0.052929844,2.703,750,0.022,1.130,68
,,,,0.020,1.023,1118,0.018,0.921,21,0.040957828,2.091,570,0.028,1.451,96
,,,,0.021,1.081,1142,0.020,1.008,233,0.021076085,1.076,842,0.023,1.167,141
,,,,0.022,1.138,1153,0.019,0.991,190,0.021966624,1.122,400,0.024,1.220,69
5,α2-3 SiaLac,111,1.72,0.036,4.035,6680,0.038,4.170,965,0.033116533,3.661,2570,0.031,3.429,1156
,,,,0.039,4.324,6672,0.035,3.877,893,0.030872012,3.413,2286,0.031,3.429,1034
,,,,0.040,4.400,5510,0.038,4.155,808,0.033594176,3.714,2193,0.029,3.159,1389
,,,,0.038,4.222,5133,0.035,3.906,1200,0.031614128,3.495,2286,0.031,3.413,1523
,,,,0.040,4.462,4595,0.037,4.078,546,0.030129896,3.331,2266,0.031,3.380,1461
,,,,0.038,4.164,4886,0.037,4.109,246,0.030872012,3.413,2397,0.031,3.462,1717
,,93,2.05,0.066,6.144,6544,0.066,6.144,743,0.063048784,5.849,1938,0.051,4.764,1388
,,,,0.065,6.071,6714,0.062,5.797,764,0.065277782,6.056,1938,0.052,4.833,1532
,,,,0.066,6.100,6100,0.063,5.879,772,0.055510252,5.150,2258,0.042,3.904,1111
,,,,0.061,5.700,5317,0.058,5.378,985,0.059546074,5.524,2509,0.050,4.682,1233
,,,,0.061,5.673,5113,0.068,6.351,998,0.055064983,5.108,2522,0.052,4.805,1381
,,,,0.068,6.336,5125,0.068,6.336,974,0.058272361,5.406,2661,0.051,4.750,1671
,,83,2.30,0.089,7.386,6221,0.090,7.435,621,0.087718073,7.263,1551,0.081,6.718,901
,,,,0.094,7.752,5914,0.089,7.398,674,0.088460188,7.325,1579,0.076,6.293,917
,,,,0.088,7.288,5605,0.090,7.423,680,0.08949915,7.411,2118,0.062,5.117,879
,,,,0.089,7.374,4907,0.092,7.644,1164,0.087569649,7.251,2417,0.068,5.593,1105
,,,,0.089,7.411,4900,0.086,7.086,1069,0.083631984,6.925,2565,0.070,5.786,1284
,,,,0.092,7.619,5104,0.091,7.497,979,0.08390937,6.948,2471,0.071,5.851,1281
,,70,2.71,0.067,4.698,6598,0.075,5.309,602,0.085640149,6.026,1483,0.084,5.912,618
,,,,0.068,4.790,6278,0.075,5.261,740,0.086233841,6.068,1450,0.082,5.739,884
,,,,0.074,5.192,6096,0.069,4.854,855,0.085640149,6.026,1693,0.070,4.945,884
,,,,0.074,5.231,5408,0.069,4.854,1004,0.086233841,6.068,1761,0.080,5.602,1024
,,,,0.075,5.300,5112,0.069,4.872,1109,0.087718073,6.173,2035,0.081,5.680,1186
,,,,0.077,5.436,5397,0.076,5.348,1268,0.089350727,6.288,1999,0.091,6.371,1311
,,64,2.98,0.057,3.629,5693,0.062,3.964,612,0.07243049,4.631,1330,0.072,4.593,548
,,,,0.055,3.538,5404,0.057,3.629,761,0.074953683,4.793,944,0.073,4.641,727
,,,,0.063,4.044,5070,0.061,3.920,766,0.07435999,4.755,1017,0.068,4.372,805
,,,,0.062,3.946,4699,0.057,3.663,926,0.074656837,4.774,1075,0.068,4.363,783
,,,,0.058,3.712,4349,0.057,3.663,959,0.075250529,4.812,1032,0.074,4.736,1066
,,,,0.059,3.771,4518,0.061,3.878,1035,0.076141068,4.868,1069,0.071,4.558,1235
,,51,3.73,0.092,4.676,1036,0.092,4.721,-64,0.089647573,4.577,157,0.088,4.494,-4
,,,,0.092,4.691,1357,0.092,4.691,13,0.09187392,4.691,28,0.078,3.994,25
,,,,0.092,4.691,949,0.092,4.714,88,0.099668028,5.089,32,0.080,4.079,123
,,,,0.092,4.691,1014,0.085,4.327,182,0.09187392,4.691,33,0.073,3.741,116
,,,,0.084,4.291,1252,0.085,4.341,150,0.091725497,4.684,96,0.079,4.022,250
,,,,0.095,4.858,873,0.087,4.440,188,0.092616036,4.729,-27,0.075,3.813,333
10,α2-3 SiaLac,111,1.72,0.057,6.284,5096,0.055,6.125,1288,0.043191132,4.775,2972,0.037,4.078,1855
,,,,0.061,6.741,5559,0.051,5.628,1327,0.042894286,4.742,2974,0.039,4.324,2158
,,,,0.061,6.688,5983,0.049,5.448,1454,0.047127374,5.210,3406,0.039,4.354,2152
,,,,0.052,5.765,5969,0.053,5.896,1710,0.063685641,7.040,3895,0.039,4.308,1697
,,,,0.055,6.120,2577,0.045,4.968,406,0.061934286,6.847,3252,0.038,4.155,1317
,,,,0.058,6.460,1963,0.051,5.668,686,0.050623008,5.596,1504,0.037,4.109,2379
,,93,2.05,0.095,8.803,4492,0.090,8.372,974,0.091725497,8.509,2692,0.068,6.350,1470
,,,,0.096,8.862,5230,0.092,8.509,1131,0.091131805,8.454,3000,0.069,6.435,1831
,,,,0.089,8.234,5360,0.101,9.335,1402,0.089053881,8.262,3005,0.069,6.435,1840
,,,,0.089,8.234,5165,0.099,9.158,1270,0.046808946,4.342,3373,0.071,6.543,1502
,,,,0.089,8.234,2141,0.092,8.523,342,0.053394041,4.953,3250,0.064,5.892,1598
,,,,0.083,7.707,1849,0.099,9.217,425,0.058081305,5.388,1487,0.068,6.326,2321
,,83,2.30,0.122,10.077,4829,0.114,9.428,893,0.120668008,9.991,2579,0.096,7.916,1380
,,,,0.133,11.034,5107,0.125,10.335,1556,0.12215224,10.114,2703,0.098,8.088,1640
,,,,0.123,10.213,4859,0.124,10.299,1628,0.094227384,7.802,3287,0.106,8.762,1768
,,,,0.122,10.065,4703,0.115,9.486,1261,0.109567607,9.072,3376,0.097,8.066,2153
,,,,0.124,10.274,2203,0.118,9.750,258,0.10443596,8.647,3685,0.097,8.066,1816
,,,,0.124,10.286,2677,0.126,10.446,656,0.105470313,8.733,1809,0.102,8.418,2019
,,70,2.71,0.148,10.392,4766,0.149,10.486,965,0.138330361,9.734,1610,0.109,7.643,1227
,,,,0.147,10.361,5290,0.148,10.403,1183,0.115471809,8.126,1969,0.106,7.446,1554
,,,,0.148,10.392,5052,0.148,10.382,1360,0.131065049,9.223,3247,0.114,8.034,3179
,,,,0.148,10.382,4977,0.148,10.445,1088,0.128291186,9.028,3253,0.114,8.053,3587
,,,,0.148,10.424,2209,0.150,10.549,300,0.117679931,8.281,3367,0.106,7.454,1957
,,,,0.148,10.403,2051,0.152,10.695,471,0.13023289,9.164,1529,0.117,8.199,1868
,,64,2.98,0.106,6.749,4450,0.096,6.113,816,0.117105853,7.488,951,0.097,6.221,1441
,,,,0.104,6.642,4219,0.113,7.194,1044,0.106793744,6.828,1151,0.098,6.262,3233
,,,,0.103,6.589,4113,0.102,6.536,1020,0.109567607,7.006,2813,0.105,6.731,3349
,,,,0.102,6.553,3565,0.111,7.108,974,0.109151528,6.979,2953,0.099,6.329,3603
,,,,0.104,6.660,2212,0.104,6.669,214,0.109428914,6.997,3075,0.099,6.312,2163
,,,,0.097,6.187,1167,0.114,7.279,296,0.111093232,7.103,1494,0.100,6.420,1908
,,51,3.73,0.131,6.699,1194,0.127,6.508,-19,0.135225844,6.905,-12,0.111,5.652,704
,,,,0.132,6.749,785,0.122,6.234,-89,0.11811945,6.031,35,0.101,5.150,1180
,,,,0.131,6.713,909,0.118,6.049,-36,0.125862973,6.427,248,0.103,5.244,1178
,,,,0.131,6.699,976,0.119,6.075,59,0.126382531,6.453,758,0.101,5.180,484
,,,,0.133,6.777,469,0.126,6.451,-74,0.116900467,5.969,662,0.104,5.297,489
,,,,0.134,6.827,39,0.128,6.529,-154,0.12651242,6.460,328,0.111,5.683,479
1,Lac,109,1.75,0.023,2.461,336,0.023,2.526,90,0.019000965,2.073,135,0.025,2.704,-23
,,,,0.022,2.429,148,0.021,2.255,91,0.028423539,3.101,228,0.027,2.963,314
,,,,0.023,2.526,202,0.021,2.315,244,0.024341394,2.656,183,0.025,2.704,147
,,,,0.025,2.745,179,0.022,2.445,284,0.023302432,2.542,220,0.028,3.057,363
,,,,0.023,2.542,243,0.021,2.345,153,0.024341394,2.656,416,0.026,2.801,168
,,,,0.023,2.494,208,0.024,2.639,164,0.022468294,2.451,86,0.026,2.882,150
,,95,2.01,0.022,2.104,261,0.022,2.072,81,0.013378624,1.265,235,0.024,2.303,-19
,,,,0.020,1.882,41,0.021,1.942,-50,0.05123156,4.843,317,0.022,2.119,308
,,,,0.025,2.322,198,0.020,1.927,159,0.048684134,4.603,209,0.021,1.950,199
,,,,0.021,1.972,199,0.020,1.882,168,0.037989869,3.592,324,0.021,1.964,16
,,,,0.022,2.088,169,0.020,1.897,106,0.051489841,4.868,320,0.027,2.549,228
,,,,0.021,1.972,183,0.021,2.032,85,0.042037786,3.974,83,0.018,1.718,222
,,85,2.25,0.022,1.884,152,0.020,1.655,42,0.018446192,1.561,96,0.021,1.819,15
,,,,0.021,1.758,66,0.021,1.796,2,0.021076085,1.783,379,0.020,1.695,83
,,,,0.023,1.913,86,0.020,1.666,93,0.02213076,1.872,201,0.020,1.658,38
,,,,0.022,1.884,172,0.019,1.572,118,0.022608403,1.913,291,0.019,1.620,59
,,,,0.022,1.859,171,0.022,1.859,92,0.019694431,1.666,167,0.019,1.620,107
,,,,0.023,1.909,356,0.022,1.896,47,0.020927662,1.771,181,0.020,1.708,95
5,Lac,109,1.75,0.077,8.375,359,0.076,8.262,3,0.10181827,11.108,128,0.099,10.785,13
,,,,0.078,8.460,464,0.071,7.780,222,0.102857232,11.222,126,0.096,10.471,78
,,,,0.072,7.846,290,0.073,7.966,222,0.101076155,11.027,116,0.097,10.562,68
,,,,0.071,7.767,221,0.073,7.940,228,0.10419304,11.367,164,0.097,10.577,106
,,,,0.073,7.926,195,0.078,8.531,184,0.105380426,11.497,137,0.091,9.877,119
,,,,0.079,8.658,151,0.078,8.559,137,0.110129966,12.015,108,0.099,10.789,98
,,95,2.01,0.078,7.356,391,0.073,6.926,200,0.089318404,8.444,82,0.092,8.667,70
,,,,0.077,7.319,268,0.078,7.356,103,0.089873176,8.497,115,0.090,8.536,41
,,,,0.079,7.454,309,0.079,7.503,188,0.090427949,8.549,141,0.077,7.237,-7
,,,,0.078,7.380,183,0.078,7.405,187,0.090566642,8.562,99,0.075,7.122,19
,,,,0.078,7.356,180,0.084,7.972,306,0.09223096,8.720,123,0.080,7.577,38
,,,,0.081,7.626,89,0.079,7.466,114,0.095004824,8.982,121,0.082,7.736,108
,,85,2.25,0.082,6.935,287,0.085,7.176,102,0.087792779,7.428,14,0.083,7.056,-35
,,,,0.089,7.499,223,0.083,7.056,131,0.089873176,7.604,42,0.076,6.456,-95
,,,,0.081,6.891,255,0.083,7.012,177,0.088624938,7.499,-21,0.070,5.935,-77
,,,,0.077,6.487,182,0.088,7.463,185,0.091121415,7.710,48,0.074,6.230,-93
,,,,0.082,6.968,187,0.082,6.979,164,0.082220084,6.957,16,0.072,6.106,-40
,,,,0.090,7.604,223,0.084,7.100,214,0.089873176,7.604,-12,0.069,5.858,-79
10,Lac,109,1.75,0.133,14.496,301,0.126,13.739,175,0.148817775,16.236,116,0.124,13.485,24
,,,,0.122,13.264,244,0.120,13.094,233,0.126408534,13.791,166,0.113,12.368,27
,,,,0.119,13.037,200,0.130,14.178,113,0.133786235,14.596,123,0.122,13.352,-6
,,,,0.119,13.037,124,0.127,13.830,66,0.13820248,15.078,102,0.120,13.113,-406
,,,,0.112,12.209,76,0.121,13.151,-18,0.126530432,13.804,168,0.124,13.538,-295
,,,,0.120,13.080,23,0.131,14.314,203,0.120069823,13.100,-53,0.132,14.384,187
,,95,2.01,0.118,11.125,242,0.116,10.954,93,0.146459991,13.846,98,0.127,11.997,21
,,,,0.118,11.138,282,0.116,10.990,168,0.143824821,13.597,122,0.118,11.132,-54
,,,,0.116,10.954,191,0.115,10.904,79,0.142299196,13.453,108,0.127,11.973,-14
,,,,0.117,11.027,122,0.117,11.052,74,0.15673483,14.818,55,0.121,11.444,-239
,,,,0.118,11.125,169,0.118,11.125,-17,0.135994357,12.857,182,0.121,11.455,-200
,,,,0.110,10.429,-42,0.119,11.211,58,0.136384026,12.894,-114,0.125,11.801,161
,,85,2.25,0.119,10.100,87,0.121,10.232,-29,0.145489139,12.310,255,0.117,9.860,-164
,,,,0.120,10.155,189,0.112,9.458,-34,0.135864468,11.495,-52,0.119,10.108,-226
,,,,0.119,10.056,107,0.119,10.089,-97,0.143131355,12.110,-112,0.118,9.943,-254
,,,,0.119,10.045,-48,0.129,10.878,-183,0.1442409,12.204,-115,0.121,10.231,-192
,,,,0.121,10.199,61,0.119,10.111,-85,0.14770823,12.498,43,0.122,10.283,-280
,,,,0.113,9.571,-171,0.121,10.265,-114,0.136643805,11.561,-320,0.125,10.592,-100